Date,AAPL,AMZN,GOOGL,MSFT,TSLA
4/21/2020,65.1277771,116.4059982,60.38908768,160.6337433,45.78133392
4/22/2020,67.00366974,118.1744995,62.69323349,166.0896606,48.8073349
4/23/2020,66.74402618,119.9725037,63.32892609,164.0795593,47.04199982
4/24/2020,68.67088318,120.5110016,63.59944916,167.0755615,48.3433342
4/27/2020,68.71942139,118.8000031,63.31348038,166.5969543,53.25
4/28/2020,67.60551453,115.7040024,61.4068985,162.5385132,51.27466583
4/29/2020,69.82604218,118.635498,66.86660004,169.8322144,53.36733246
4/30/2020,71.29909515,123.6999969,67.09178162,171.5360107,52.12533188
5/1/2020,70.15123749,114.302002,65.6280899,167.0946808,46.75466537
5/4/2020,71.14377594,115.7994995,65.90608215,171.1818237,50.74599838
5/5/2020,72.21157074,115.8899994,67.20736694,173.0196075,51.2140007
5/6/2020,72.95661163,117.5630035,67.02851868,174.7233734,52.17200089
5/7/2020,73.71131134,118.3805008,68.21670532,175.7380371,52.00266647
5/8/2020,75.46579742,118.9804993,68.96699524,176.7717896,54.62799835
5/11/2020,76.65326691,120.4499969,69.92601013,178.7435608,54.08599854
5/12/2020,75.77725983,117.8475037,68.51064301,174.6946869,53.96066666
5/13/2020,74.86231232,118.3960037,67.17298889,172.052887,52.73066711
5/14/2020,75.32221222,119.4424973,67.5979538,172.7994843,53.55533218
5/15/2020,74.87690735,120.4889984,68.4050293,175.3168793,53.27799988
5/18/2020,76.64109802,121.3130035,69.00884247,176.9919586,54.24200058
5/19/2020,76.19822693,122.4664993,68.4717865,175.7667236,53.86733246
5/20/2020,77.68012238,124.8970032,70.20350647,178.2047729,54.3706665
5/21/2020,77.10101318,122.336998,70.08344269,176.0642853,55.17333221
5/22/2020,77.59739685,121.8440018,70.4067688,176.1410675,54.45866776
5/26/2020,77.0717926,121.0930023,70.8117981,174.2789764,54.59133148
5/27/2020,77.4076004,120.5195007,70.75749969,174.5093536,54.68199921
5/28/2020,77.44166565,120.0550003,70.65586853,174.1157532,53.72066879
5/29/2020,77.36621857,122.1184998,71.41711426,175.8915253,55.66666794
6/1/2020,78.3176651,123.552002,71.48435974,175.4883881,59.87333298
6/2/2020,78.68023682,123.6204987,71.85502625,177.484848,58.77066803
6/3/2020,79.11338043,123.9199982,71.70257568,177.9168091,58.86399841
6/4/2020,78.43203735,123.0299988,70.45957947,175.5747528,57.62533188
6/5/2020,80.66587067,124.1500015,71.74092865,179.6828918,59.04399872
6/8/2020,81.14280701,126.2030029,72.14048767,180.7963104,63.32799911
6/9/2020,83.70513153,130.0429993,72.3417511,182.1784973,62.71133423
6/10/2020,85.8586731,132.3724976,72.97048187,188.9358063,68.33666992
6/11/2020,81.73655701,127.8980026,69.84182739,178.7902527,64.85600281
6/12/2020,82.44219208,127.2509995,70.39083099,180.2012177,62.35200119
6/15/2020,83.46179199,128.6340027,70.78041077,181.3530426,66.05999756
6/16/2020,85.67372131,130.763504,72.06227875,185.7971191,65.47533417
6/17/2020,85.55449677,132.048996,72.3646698,186.4402466,66.11933136
6/18/2020,85.58856201,132.6990051,71.44700623,188.436676,66.93066406
6/19/2020,85.09944916,133.7505035,70.97471619,187.3136444,66.72666931
6/22/2020,87.32597351,135.6909943,72.27100372,192.5159912,66.28800201
6/23/2020,89.18994141,138.2205048,72.93460083,193.8022156,66.78533173
6/24/2020,87.61552429,136.7200012,71.37625885,189.8956451,64.05666351
6/25/2020,88.77868652,137.7290039,71.79473877,192.2952881,65.73200226
6/26/2020,86.05089569,134.6434937,67.88092041,188.4462585,63.98266602
6/29/2020,88.03407288,134.0189972,69.60617065,190.4715729,67.29000092
6/30/2020,88.76894379,137.9409943,70.64639282,195.3379517,71.98733521
7/1/2020,88.60105133,143.9349976,71.83956909,196.4801941,74.64199829
7/2/2020,88.60105133,144.5149994,73.23103333,197.9775238,80.57733154
7/6/2020,90.97115326,152.852005,74.71166229,202.2392273,91.4386673
7/7/2020,90.68888092,150.0059967,74.22692108,199.8876495,92.65733337
7/8/2020,92.80104828,154.0554962,74.90844727,204.2837067,91.05867004
7/9/2020,93.20010376,159.1315002,75.65872955,205.7138824,92.95200348
7/10/2020,93.36313629,160,76.67256165,205.0899811,102.9766693
7/13/2020,92.93243408,155.1999969,75.33840179,198.7549896,99.80400085
7/14/2020,94.47031403,154.1999969,75.76833344,199.9835968,101.1200027
7/15/2020,95.12002563,150.4434967,75.5700531,199.6860657,103.0673294
7/16/2020,93.9495697,149.9949951,75.47241211,195.7315063,100.0426636
7/17/2020,93.75976563,148.0984955,75.56855774,194.7332916,100.0559998
7/20/2020,95.73564148,159.8419952,77.90957642,203.1031036,109.5333328
7/21/2020,94.41434479,156.914505,77.51499939,200.3675537,104.5573349
7/22/2020,94.67958832,154.9954987,77.95988464,203.2471008,106.1553345
7/23/2020,90.3700943,149.3274994,75.56358337,194.4068756,100.8713303
7/24/2020,90.14626312,150.4454956,75.13812256,193.2166901,94.46666718
7/27/2020,92.28272247,152.760498,76.19528961,195.6643219,102.6399994
7/28/2020,90.76674652,150.0164948,74.91094208,193.9078064,98.43267059
7/29/2020,92.50660706,151.6764984,75.90035248,195.8658752,99.9406662
7/30/2020,93.62593079,152.5939941,76.64067078,195.7122955,99.16600037
7/31/2020,103.4275131,158.2339935,74.12877655,196.777771,95.38400269
8/3/2020,106.0336609,155.5944977,73.87021637,207.8447418,99
8/4/2020,106.7417526,156.9414978,73.39891815,204.7252045,99.1333313
8/5/2020,107.1286545,160.2514954,73.68737793,204.3893127,99.00133514
8/6/2020,110.866272,161.25,74.97570038,207.6623535,99.305336
8/7/2020,108.3456573,158.3730011,74.64790344,203.9477386,96.84733582
8/10/2020,109.9204559,157.4080048,74.57067871,199.8876495,94.57133484
8/11/2020,106.6514206,154.033493,73.75961304,195.2131958,91.62599945
8/12/2020,110.1959152,158.1119995,75.08979034,200.789917,103.6506653
8/13/2020,112.1461182,158.0509949,75.55859375,200.3195496,108.0666656
8/14/2020,112.0461578,157.401001,74.9597702,200.5115509,110.0473328
8/17/2020,111.7536392,159.1204987,75.53816986,201.8361053,122.3759995
8/18/2020,112.684845,165.6244965,77.50802612,202.9975281,125.8059998
8/19/2020,112.8262329,163.0240021,76.95154572,201.7659302,125.2353363
8/20/2020,115.3298111,164.8684998,78.52783203,206.4613342,133.4553375
8/21/2020,121.2730331,164.2359924,78.49395752,204.9603577,136.665329
8/24/2020,122.7234955,165.3730011,78.97122192,205.6049805,134.2799988
8/25/2020,121.7166977,167.3244934,80.00248718,208.2798004,134.889328
8/26/2020,123.3719406,172.0924988,81.90956879,212.7827606,143.5446625
8/27/2020,121.8970947,170,81.13188934,218.0072784,149.25
8/28/2020,121.6996536,170.0899963,81.67542267,220.2491302,147.5599976
8/31/2020,125.8267593,172.5480042,81.18221283,216.9970093,166.1066742
9/1/2020,130.8387604,174.9559937,82.45509338,218.6711884,158.3500061
9/2/2020,128.1279602,176.5724945,85.5593338,222.8854675,149.1233368
9/3/2020,117.8699417,168.3999939,81.18121338,209.0784149,135.6666718
9/4/2020,117.9479446,164.7310028,78.77494049,206.1438141,139.4400024
9/8/2020,110.0106506,157.4920044,75.90483856,194.9923096,110.0699997
9/9/2020,114.3985825,163.4304962,77.0820694,203.2957916,122.0933304
9/10/2020,110.6639481,158.7554932,76.02689362,197.5998077,123.7799988
9/11/2020,109.2110596,155.8110046,75.51425171,196.3104706,124.2399979
9/14/2020,112.4874039,155.1484985,75.16899872,197.6382751,139.8733368
9/15/2020,112.6629028,157.8065033,76.47875214,200.8807983,149.9199982
9/16/2020,109.3378372,153.9049988,75.3314209,197.2919006,147.2533264
9/17/2020,107.5923843,150.4364929,74.08344269,195.2328644,141.1433258
9/18/2020,104.1795349,147.7454987,72.29242706,192.8082275,147.3833313
9/21/2020,107.3388824,148.0234985,71.24872589,194.8768616,149.7966614
9/22/2020,109.0257874,156.4494934,72.72735596,199.5722198,141.4100037
9/23/2020,104.4525757,149.9929962,70.21495819,193.0006409,126.7866669
9/24/2020,105.5251923,150.989502,70.88602448,195.5022736,129.2633362
9/25/2020,109.4840775,154.7565002,71.6931076,199.9571228,135.7799988
9/28/2020,112.0973511,158.7024994,72.66956329,201.5158081,140.3999939
9/29/2020,111.2490082,157.2440033,73.03623962,199.4182739,139.6900024
9/30/2020,112.9262009,157.4364929,73.01531219,202.3721313,143.0033264
10/1/2020,113.8817825,161.0630035,74.12628937,204.421524,149.386673
10/2/2020,110.2056656,156.25,72.51711273,198.3887634,138.363327
10/5/2020,113.5990143,159.9600067,73.873703,202.4201965,141.8933258
10/6/2020,110.3421783,154.9980011,72.28894806,198.1193237,137.9933319
10/7/2020,112.2143555,159.7845001,72.69348907,201.891037,141.7666626
10/8/2020,112.1071167,159.5274963,73.90359497,202.6126862,141.9733276
10/9/2020,114.0572891,164.3325043,75.24971008,207.6447754,144.6666718
10/12/2020,121.302269,172.1464996,77.94692993,213.0233002,147.4333344
10/13/2020,118.0844574,172.1815033,78.07049561,214.4280396,148.8833313
10/14/2020,118.1722183,168.1855011,77.88964081,212.5036926,153.7666626
10/15/2020,117.704155,166.9324951,77.49258423,211.3491364,149.6266632
10/16/2020,116.0562515,163.635498,78.10187531,211.3491364,146.5566711
10/19/2020,113.0919495,160.3605042,76.22119141,206.1149445,143.6100006
10/20/2020,114.583847,160.8504944,77.27388,206.528656,140.6466675
10/21/2020,113.9597931,159.246994,79.01307678,206.6729889,140.8800049
10/22/2020,112.8676758,158.8200073,80.04283142,206.759613,141.9299927
10/23/2020,112.1753693,160.2200012,81.35408783,208.0488892,140.2100067
10/26/2020,112.1851273,160.352005,78.92837524,202.1315613,140.093338
10/27/2020,113.6965027,164.3164978,79.65524292,205.1816254,141.5599976
10/28/2020,108.4309845,158.1390076,75.26715088,195.0115662,135.3399963
10/29/2020,112.4483795,160.5505066,77.56282806,196.97435,136.9433289
10/30/2020,106.1492386,151.8074951,80.5136261,194.809494,129.3466644
11/2/2020,106.0614777,150.223999,80.9226532,194.6747894,133.5033264
11/3/2020,107.6899109,152.4205017,81.98579407,198.6196747,141.3000031
11/4/2020,112.0876007,162.0579987,86.97720337,208.2028503,140.3266602
11/5/2020,116.0659866,166.1000061,87.80669403,214.8417969,146.0299988
11/6/2020,115.9341431,165.5684967,87.66869354,215.2554779,143.3166656
11/9/2020,113.6191711,157.1869965,87.75289154,210.1271667,140.4199982
11/10/2020,113.2772903,151.7510071,86.57217407,203.0263977,136.7866669
11/11/2020,116.7155609,156.8695068,87.04595184,208.356781,139.043335
11/12/2020,116.4420624,155.5140076,86.82624817,207.2887726,137.2533264
11/13/2020,116.4908981,156.440506,88.2929306,208.3182678,136.1666718
11/16/2020,117.506752,156.5529938,88.38111115,209.0110626,136.0299988
11/17/2020,116.617897,156.7830048,87.7648468,206.345871,147.2033386
11/18/2020,115.2894745,155.272995,86.71764374,203.6254425,162.2133331
11/19/2020,115.8852844,155.8509979,87.61090088,204.9181213,166.4233398
11/20/2020,114.6154938,154.9700012,86.50540924,202.9598236,163.2033386
11/23/2020,111.206543,154.9194946,86.06600189,202.689743,173.9499969
11/24/2020,112.4958725,155.9029999,87.87644196,206.3072815,185.1266632
11/25/2020,113.3359146,159.2534943,87.88789368,206.316925,191.3333282
11/27/2020,113.8828964,159.7669983,89.02826691,207.628891,195.2533264
11/30/2020,116.2857742,158.4019928,87.40315247,206.5098572,189.1999969
12/1/2020,119.8705673,161.0039978,89.4437561,208.574295,194.9199982
12/2/2020,120.2222137,160.1764984,90.91890717,207.7639313,189.6066742
12/3/2020,120.0854568,159.3365021,90.76298523,206.6738739,197.793335
12/4/2020,119.4114838,158.1289978,90.85862732,206.7896271,199.6799927
12/7/2020,120.8766632,157.8999939,90.52335358,206.7220764,213.9199982
12/8/2020,121.492012,158.864502,90.23937225,208.3813477,216.6266632
12/9/2020,118.9524002,155.2100067,88.57191467,204.3200378,201.4933319
12/10/2020,120.3784866,155.0744934,88.06327057,203.0852356,209.0233307
12/11/2020,119.5677643,155.8209991,88.41947174,205.7284546,203.3300018
12/14/2020,118.9524002,157.8484955,87.29653931,206.6352539,213.2766724
12/15/2020,124.910759,158.2559967,87.73594666,206.567749,211.0833282
12/16/2020,124.842392,162.0480042,87.54214478,211.5358429,207.5899963
12/17/2020,125.7117233,161.8040009,86.71116638,211.6708832,218.6333313
12/18/2020,123.7190933,160.0825043,85.99924469,210.870224,231.6666718
12/21/2020,125.2526245,160.3090057,86.41473389,214.7289734,216.6199951
12/22/2020,128.8178864,160.326004,85.70033264,216.031311,213.4466705
12/23/2020,127.91922,159.263504,86.09938049,213.2144623,215.3266602
12/24/2020,128.9057922,158.6345062,86.39481354,214.8833008,220.5899963
12/28/2020,133.5161896,164.197998,88.37761688,217.0152588,221.2299957
12/29/2020,131.7384338,166.1000061,87.57054901,216.2338409,221.9966736
12/30/2020,130.6151581,164.2924957,86.49893951,213.851059,231.593338
12/31/2020,129.6090546,162.8464966,87.31548309,214.5649567,235.2233276
1/4/2021,126.4052505,159.3314972,85.99476624,210.0020142,243.2566681
1/5/2021,127.9680786,160.9255066,86.68825531,210.2045898,245.0366669
1/6/2021,123.6604843,156.9190063,85.83283997,204.7541199,251.9933319
1/7/2021,127.8801727,158.1080017,88.3965683,210.5808411,272.0133362
1/8/2021,128.9839478,159.1349945,89.56681824,211.8638458,293.3399963
1/11/2021,125.985199,155.710495,87.49731445,209.8090668,270.3966675
1/12/2021,125.8094025,156.0415039,86.55771637,207.3394623,283.1466675
1/13/2021,127.8509064,158.2944946,87.04695129,208.6996918,284.8033447
1/14/2021,125.9168396,156.3735046,86.23339844,205.4969482,281.6666565
1/15/2021,124.1879425,155.2124939,86.06899261,205.1399841,275.3866577
1/19/2021,124.8619308,156.0379944,88.90122986,208.7961578,281.5166626
1/20/2021,128.964386,163.1690063,93.66395569,216.4171448,283.4833374
1/21/2021,133.6920013,165.3495026,93.86722565,217.0249023,281.6633301
1/22/2021,135.8409271,164.611496,94.28620148,217.9702759,282.2133179
1/25/2021,139.601532,164.6999969,94.37188721,221.4238739,293.6000061
1/26/2021,139.8359985,166.3065033,95.05292511,224.1250153,294.3633423
1/27/2021,138.7615204,161.6289978,90.61849976,224.6748352,288.0533447
1/28/2021,133.9069214,161.8809967,92.32531738,230.4918518,278.4766541
1/29/2021,128.8960114,160.3099976,91.0379715,223.7680511,264.5100098
2/1/2021,131.0254059,167.1439972,94.31162262,231.1864929,279.936676
2/2/2021,131.8556976,169,95.60941315,231.0513763,290.9299927
2/3/2021,130.8300781,165.6264954,102.5721664,234.4181671,284.8966675
2/4/2021,134.1999359,166.5500031,102.3106232,233.4631348,283.3299866
2/5/2021,133.7841797,167.6074982,104.0642624,233.6463928,284.0766602
2/8/2021,133.9309387,166.1470032,103.8495331,233.9068756,287.8066711
2/9/2021,133.0505371,165.25,103.3946915,235.1609802,283.1533203
2/10/2021,132.443985,164.3289948,103.9471817,234.2445068,268.2733459
2/11/2021,132.1896515,163.1065063,104.0602646,235.855545,270.5533447
2/12/2021,132.4243927,163.885498,104.3731384,236.3378754,272.0400085
2/16/2021,130.2919159,163.4474945,105.1538162,235.0934143,265.4066772
2/17/2021,127.9930191,165.4320068,105.548378,236.1183319,266.0499878
2/18/2021,126.887619,166.411499,104.9101868,235.7219086,262.4599915
2/19/2021,127.0441055,162.4949951,104.0632629,232.9952545,260.4333191
2/22/2021,123.2583237,159.0370026,102.3420029,226.7489929,238.1666718
2/23/2021,123.121376,159.7250061,102.6339417,225.5500641,232.9466705
