Date,MKS.L,SBRY.L,TSCO.L
6/12/2020,104.367424,153.8067474,199.4216461
6/15/2020,106.5880127,151.8348846,195.8070221
6/16/2020,108.1177444,154.4772339,199.0690308
6/17/2020,110.2889786,156.1730194,200.1269836
6/18/2020,110.5850601,156.5673981,199.5980072
6/19/2020,106.4399719,157.9871521,200.4795837
6/22/2020,108.6605453,162.9563141,205.5047913
6/23/2020,107.5749283,161.3788147,203.388916
6/24/2020,101.8507614,161.9309387,200.391449
6/25/2020,100.8638306,162.1675415,199.5980072
6/26/2020,99.33410645,163.7450562,203.388916
6/29/2020,99.92625427,164.8493042,204.62323
6/30/2020,97.70566559,164.6126709,201.0967407
7/1/2020,98.35704803,160.2745361,196.8649445
7/2/2020,100.8144913,158.0660248,195.5425415
7/3/2020,96.87666321,155.5814819,195.2780609
7/6/2020,97.11351776,154.3588867,192.9858856
7/7/2020,93.00790405,152.9785919,192.3687286
7/8/2020,93.75797272,150.6517487,189.5475464
7/9/2020,93.639534,147.8122406,186.5500488
7/10/2020,94.74490356,152.8208313,189.3712158
7/13/2020,96.22528839,154.4772339,189.5475464
7/14/2020,96.7977066,156.2519073,187.8724518
7/15/2020,97.74515533,153.9645081,189.0186157
7/16/2020,96.69901276,154.2011261,190.3410492
7/17/2020,97.54776764,153.21521,189.1949005
7/20/2020,97.3306427,150.4545746,188.7541046
7/21/2020,96.73847961,149.38974,191.1344452
7/22/2020,95.21862793,149.4686127,189.1067047
7/23/2020,95.81078339,149.8630066,190.4291229
7/24/2020,94.11326599,150.6911774,194.5727692
7/27/2020,95.23836517,149.4291992,193.9556427
7/28/2020,98.88998413,147.2995605,192.1924133
7/29/2020,99.67952728,150.0207367,195.3662567
7/30/2020,95.39627075,149.2319946,192.1924133
7/31/2020,93.73823547,147.6150665,191.3989563
8/3/2020,95.71208954,147.65448,193.2503357
8/4/2020,96.93586731,150.4940033,196.0715332
8/5/2020,101.258606,150.848938,195.4543457
8/6/2020,99.92625427,149.0742645,196.247818
8/7/2020,102.2455368,149.4291992,197.2176361
8/10/2020,108.857933,149.8630066,198.7163544
8/11/2020,115.2236099,149.9813232,198.0992126
8/12/2020,116.4572678,153.4912872,203.5652924
8/13/2020,113.4471436,150.9278259,201.8020172
8/14/2020,111.3745956,149.7446899,201.0085449
8/17/2020,112.1147919,149.8630066,201.8020172
8/18/2020,106.6373596,148.9953766,201.2730408
8/19/2020,107.5255814,147.7728271,200.7440643
8/20/2020,107.5749283,148.6009979,198.363678
8/21/2020,108.3644714,148.4826965,200.567749
8/24/2020,109.4500961,148.2855072,200.1269836
8/25/2020,110.3383331,146.0770111,197.7466125
8/26/2020,112.5095596,147.0629425,196.8649445
8/27/2020,111.3252563,146.4319153,195.630722
8/28/2020,109.6474762,144.9727631,192.809494
9/1/2020,104.9595795,141.3050232,189.1949005
9/2/2020,106.143898,142.4093018,191.3107605
9/3/2020,106.4399719,144.0656586,189.7238617
9/4/2020,107.5255814,144.1839905,190.2528381
9/7/2020,109.0553207,146.1953125,191.5752563
9/8/2020,107.0321274,148.0488739,194.3082733
9/9/2020,106.3412857,151.2827759,197.1294708
9/10/2020,104.0713425,148.2066193,193.9556427
9/11/2020,100.5184097,146.4713745,194.6609192
9/14/2020,103.3311539,145.5643005,191.6634521
9/15/2020,107.8216629,147.8122406,193.7793274
9/16/2020,110.6343994,145.9192505,190.2528381
9/17/2020,110.5357132,150.7700653,189.7238617
9/18/2020,109.3020554,153.8067474,193.6029358
9/21/2020,103.1337662,155.187088,198.8045502
9/22/2020,100.6664505,157.9082794,199.1571503
9/23/2020,99.13671112,159.3280487,197.3057404
9/24/2020,95.94894409,159.4069061,193.1621704
9/25/2020,92.77104187,155.5814819,190.4291229
9/28/2020,98.31757355,156.7645874,192.1924133
9/29/2020,95.08044434,152.1109467,189.5475464
9/30/2020,96.24501801,150.6123199,187.3435211
10/1/2020,98.21887207,150.0996246,185.7565765
10/2/2020,97.40958405,151.1250153,185.1394196
10/5/2020,98.51495361,156.606842,187.4317017
10/6/2020,96.24501801,155.4631348,188.6659088
10/7/2020,96.14632416,154.9898987,187.4317017
10/8/2020,94.5475235,155.187088,190.1646423
10/9/2020,97.90305328,157.9871521,193.6029358
10/12/2020,96.26475525,157.9082794,193.1621704
10/13/2020,93.58032227,159.7223969,196.0715332
10/14/2020,92.96842957,157.9082794,195.2780609
10/15/2020,90.79719543,157.5139008,192.2366638
10/16/2020,89.96818542,160.5900574,191.6999054
10/19/2020,91.34986115,159.8012848,189.374115
10/20/2020,91.34986115,160.9844055,191.4315186
10/21/2020,93.85665894,161.2210541,190.536972
10/22/2020,96.3832016,162.6407928,188.479538
10/23/2020,96.56082916,164.6126709,191.5209961
10/26/2020,93.99482727,163.7450562,189.9108582
10/27/2020,92.23810577,163.1140594,187.1377563
10/28/2020,90.3037262,159.0125427,182.3072205
10/29/2020,87.56007385,159.4069061,181.5916138
10/30/2020,87.97457886,159.0125427,183.8278961
11/2/2020,89.33653259,163.4295502,188.2112122
11/3/2020,90.79719543,164.2971802,187.7639465
11/4/2020,95.23836517,164.7704315,189.6424713
11/5/2020,94.64620972,156.1730194,190.0897369
11/6/2020,94.92253876,158.4604034,194.8307495
11/9/2020,111.0291748,156.0547333,195.8148193
11/10/2020,118.8752289,162.2464142,195.5464478
11/11/2020,119.1219635,165.0859375,199.5718689
11/12/2020,119.418045,165.3310852,199.7507324
11/13/2020,122.1320953,168.2732239,201.0030975
11/16/2020,124.8461456,171.133606,202.613266
11/17/2020,126.7212906,173.9940186,204.491806
11/18/2020,130.4716339,178.5706635,208.6067047
11/19/2020,129.0405731,181.431076,211.2008972
11/20/2020,130.8664093,178.8158417,208.1594849
11/23/2020,133.2843628,175.7102814,203.7761688
11/24/2020,138.4657288,179.7148285,203.1499786
11/25/2020,133.6297607,180.2051849,204.6707458
11/26/2020,128.497757,176.936142,203.6867218
11/27/2020,125.734375,176.936142,203.7761688
11/30/2020,124.1059494,172.5229645,203.0605927
12/1/2020,131.0144196,176.6092682,204.7601776
12/2/2020,133.2350006,171.5422516,200.8241882
12/3/2020,140.2915192,178.6523895,204.491806
12/4/2020,140.6369476,174.4843903,202.613266
12/7/2020,136.6892395,173.0133057,201.0925751
12/8/2020,135.3569031,176.6909943,200.8241882
12/9/2020,141.1304169,182.1665802,202.613266
12/10/2020,134.9621429,184.0462799,206.2809296
12/11/2020,127.9549561,178.3255005,200.197998
12/14/2020,132.988266,184.7000732,202.4344025
12/15/2020,135.3569031,187.0701599,200.197998
12/16/2020,136.8372803,188.9498291,207.1754456
12/17/2020,137.3307495,186.0894318,206.012558
12/18/2020,131.8533325,184.9452667,202.7027283
12/21/2020,127.1654282,180.0417328,196.9776764
12/22/2020,129.9288025,177.9985962,197.0671692
12/23/2020,136.5905457,183.065567,202.3449249
12/24/2020,136.7879333,185.2721863,208.3383636
12/29/2020,139.0085297,188.0508575,209.2329102
12/30/2020,136.393158,188.2960205,210.4852448
12/31/2020,134.5180054,184.2914581,206.9965668
1/4/2021,129.6820831,184.7000732,212.0059204
1/5/2021,131.8533325,184.3732147,213.079361
1/6/2021,137.676178,190.0122681,219.3412018
1/7/2021,139.5019989,203.0883636,220.0568085
1/8/2021,136.0970764,198.4300079,219.7884369
1/11/2021,132.5441742,193.2813263,218.6255951
1/12/2021,132.6921844,192.2188568,215.5841217
1/13/2021,131.3105011,196.3868866,216.5680695
1/14/2021,136.2944794,198.1031189,215.9419403
1/15/2021,137.7748718,194.5071869,216.1208496
1/18/2021,136.2944794,195.2427063,217.2837372
